#,Section_Split,Category Name,Definition,Example
1,no,New Scientific Information,Addition of new scientifically relevant information to the current revision that does not appear in the previous revision. The new information should direcly relate to the {PAGE_NAME} topic and contributes to scientific understanding.,Previous revision – Bacillus subtilis forms endospores. Current revision – Bacillus subtilis forms endospores. It also produces a protective biofilm.
2,yes,Scientific Information Removed,"Removal of at least one complete sentence containing scientifically meaningful content, such as factual claims, research findings, or definitions, that was present in the previous revision but is no longer present in the current revision. This excludes the removal of vandalism, non-substantive wording, or irrelevant content.",Previous revision – Bacillus subtilis forms endospores. It also produces a protective biofilm. Current revision – Bacillus subtilis forms endospores.
3,no,Scientific Clarification Added,Current revision includes a modification of scientifically relevant information already existing in the previous revision.,"Previous revision – The cell membrane is selectively permeable. Current revision – The cell membrane is selectively permeable, allowing small non‑polar molecules to diffuse freely while restricting ions and large polar molecules."
4,no,Scientific Technical Terms Added,"Addition or modification of technical jargon used by domain experts in the research field of {PAGE_NAME} to the current revision that was not present in the previous revision. This refers to the use of field-specific terms, concepts, or processes that carry a precise meaning recognized by experts in the field, and that would likely be unfamiliar to general audiences without specialized knowledge.","Previous revision - Recent research suggest that diet influences health. Current revision - Recent research suggests that dietary fiber modulates gut microbiota composition, which influences health."
5,no,Researcher Names Added,"Inclusion of researcher names in the current revision that were not present in the previous revision, but only if they appear directly in the article text outside of reference tags (<ref>). This label should be used when a researcher's name is explicitly mentioned as part of the main article content, such as in a sentence or paragraph (including phrases like ""a study by [researcher name]"" or ""[researcher name] et al. showed""), but not when it appears only within a citation or reference.",Previous revision - Studies have shown that melatonin affects sleep. Current revision - Studies by Smith et al. have shown that melatonin affects sleep.
6,no,Change in Scientific Narrative,"Change in scientific narrative or perspective in the current revision regarding a specific scientific fact, phenomenon, or theory that appears in both the previous and the current section. The same specific claim must be present in both revisions; if the previous claim is replaced with a different claim about a different topic, hypothesis, or mechanism, Label 6 does not apply. The change must be in how that fact is framed — its certainty, stance, interpretation, or temporal/causal direction. Examples include shifts between hypothesis and demonstrated finding, success and failure of a study, cause and correlation, present and past tense status, or skeptical and assertive evidential framing. Do not apply Label 6 when the underlying fact itself is changed, such as a different number, date, name, season, outcome, classification, or any change that asserts a different property of the same entity. Do not apply Label 6 when the same fact is rephrased, restructured, or elaborated and the writer's stance toward the claim is unchanged. Do not apply Label 6 when the change is vandalism or the introduction of a factual error.","Previous revision - It is hypothesised that protein P acts as a positive regulator of gene G. Current revision - While it was previously hypothesised that protein P acts as a positive regulator of gene G, it was shown in 2018 that protein P in fact serves as a repressor of gene G."
7,no,Academic References Added,"Addition of new references to published academic papers in the current revision that were not present in the previous revision. These typically include standardized identifiers such as DOI, PMID, PMC, arXiv, or ISSN, which are commonly used to reference scientific publications, or enough information to trace back to a specific academic paper. Such references usually appear within <ref> tags that contains {{cite journal}}. Only include new academic papers. Exclude URLs, books, and edits to existing references.","Previous revision - The future of medicine is promising. Current revision – The future of medicine is promising <ref name=""Smith2020"">{{Cite journal |last=Smith |first=John |title=The Future of Medicine |journal=Medical Journal |year=2020 |volume=45 |issue=2 |pages=123–130 |doi=10.1016/j.medj.2020.01.001 |pmid=32012345}}</ref>"
8,no,Academic References Removed,"Removal of references to published academic papers that were present in the previous revision but no longer appear in the current revision. These typically include standardized identifiers such as DOI, PMID, PMC, arXiv, or ISSN, which are commonly used to reference scientific publications. Such references usually appear within <ref> tags that contain {{cite journal}}. Only include removals of academic papers. Exclude removals of URLs, books, or modifications to existing references.","Previous revision – The future of medicine is promising <ref name=""Smith2020"">{{Cite journal |last=Smith |first=John |title=The Future of Medicine |journal=Medical Journal |year=2020 |volume=45 |issue=2 |pages=123–130 |doi=10.1016/j.medj.2020.01.001 |pmid=32012345}}</ref>. Current revision - The future of medicine is promising."
9,no,Wikilink Added,Addition of a new link to another Wikipedia page in the current revision that was not in the previous revision. Do not include edits or modifications of existing wikilinks.,Previous revision - Androsthenes of Thasos sailed with Nearchus. Current revision - [[Androsthenes of Thasos|Androsthenes]] sailed with [[Nearchus]].
10,no,Addition or Modification of Quantitative Information,"Addition or modification of statistics or numeric experimental results in the current revision that were not present in the previous revision. Qualifying changes include the introduction of specific metrics, percentages, counts of measured quantities, ratios, confidence intervals, p-values, dosages, or physical measurements (e.g., concentrations, durations, distances) in the main article text. Do not apply Label 10 to dates or years, such as ""in 2018"" or ""the 1700s"". Do not apply Label 10 to relative or comparative terms that carry no numeric value, such as ""several"", ""most"", ""many"", ""few"", or ""more than"". Do not apply Label 10 to counting words used as ordinals or quantifiers, such as ""at least two of the following"" or ""three criteria"". Do not apply Label 10 to numeric metadata inside <ref> tags or {{cite}} templates. Do not apply Label 10 to the removal of quantitative information.",Previous revision - affects 5% of the population... Current revision - affects 7.2% of the population based on newer studies…
